129496-17	Klebsiella pneumoniae	strong	197	106343	453964	ST45	1	0	9	17	ybt 10; ICEKp4	78	-	0	-	0	-	0	-	-	wzi149	KL107	?-+*	None	86.06%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O2v1	?	Good	98.87%		ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA16*;AadA2*;StrB;StrA*;Aac3-IId*;Aph3-Ia	-	-	Qnr-S1;QnrB2*	-	MphA	-	FloR*	Arr3	SulII?;SulI	TetA?	DfrA27;DfrA12	AmpH*;LAP-2	-	-	-	-	SHV-26*
131515-17	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	169	87573	282795	ST1681-2LV	0	0	1	1	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	81.69%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O2v2	?-	None	96.08%	O1/O2v2_06_wbbO,O1/O2v2_07_kfoC,O1/O2v2_08_gmlC	ST1681-2LV	17	19*	28	20	105	18	162	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	OKP-A-5*	-
132027-17	Klebsiella pneumoniae	strong	112	116224	348509	ST37	0	0	4	4	-	0	-	0	-	0	-	0	-	-	wzi108	KL107	?-+	None	85.27%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_11_gnd,KL107_12,KL107_13	OL102	?-*	None	82.00%	OL102_01_rfbB,OL102_02_rfbA,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SulII	TetA*	DfrA1*	SHV-187*;AmpH*	-	-	-	-	TEM-30*
133832-17	Klebsiella variicola	strong	179	74800	391552	ST2386	0	0	0	0	-	0	-	0	-	0	-	0	-	-	wzi379	KL107	?-+*	None	82.30%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_11_gnd,KL107_12,KL107_13,KL107_14,KL107_15	O3/O3a	none	Very high	99.27%		ST2386	16	24	21	49	76	134	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
134152-17	Klebsiella pneumoniae	strong	82	119785	361746	ST17	0	0	0	0	-	0	-	0	-	0	-	0	-	-	wzi82	KL107	?-	None	93.80%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	OL102	-*	None	87.23%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-187*	-	-	-	-	-
141125-16	Klebsiella michiganensis	strong	143	72862	178580	0	0	0	2	2	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	78.42%	KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_11_gnd	O1v1	?-+*	None	72.34%	O1/O2v1_01_wzm,O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147*	126*	-	-	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3-Ia*	-	-	GyrA-83T	-	-	-	-	-	-	-	-	OXY1-5*	-	-	-	-	-
170070391-17	Klebsiella michiganensis	strong	200	61465	256147	0	0	0	1	1	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	80.86%	KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O2v1	?-+*	None	73.22%	O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147*	-	-	-	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	-	OXY1-3	-	-	-	-	-
170096690-17	Klebsiella grimontii	strong	88	127662	493315	0	0	0	1	1	-	0	-	0	-	0	-	0	-	-	0	KL126	?-+*	None	74.25%	KL126_02_cpsACP,KL126_05_wzb,KL126_06_wzc,KL126_07_wbaP,KL126_08,KL126_09,KL126_10_wzx,KL126_11_wcpS,KL126_12_wcqP,KL126_13_glf,KL126_14_gnd,KL126_15_ugd	O1v1	?-+*	None	72.29%	O1/O2v1_01_wzm,O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147*	-	-	171*	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	-	OXY6-4	-	-	-	-	-
304450-3-16	Klebsiella pneumoniae	strong	98	214809	698338	ST1785	0	0	1	1	-	0	-	0	-	0	-	0	-	-	wzi385	KL22	?-	None	98.92%	KL22_07_wzy,KL22_08,KL22_09,KL22_10_wfeD,KL22_11_wzx,KL22_12_rutE,KL22_13,KL22_17	O2v2	none	Very high	98.50%		ST1785	2	1	2	1	224	1	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-1*?	-
304471-16	Klebsiella variicola	strong	36	475988	1052149	ST355	0	0	0	0	-	0	-	0	-	0	-	0	-	-	wzi508	KL107	?-+*	None	79.79%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_11_gnd,KL107_12,KL107_13,KL107_14,KL107_15,KL107_16_ugd	OL102	-	None	73.72%	OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	ST355	16	45	21	27	47	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
400125-17	Klebsiella oxytoca	weak	72	227591	500042	0	0	0	1	1	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	76.15%	KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	O2v1	-+*	Good	72.12%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147	126*	-	171	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	-	OXY2-6	-	-	-	-	-
400161-2-16	Klebsiella pneumoniae	weak	118	175763	526388	ST902	0	2	8	10	-	0	-	0	-	0	-	0	-	-	wzi177	KL107	?-+	None	86.01%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O5	*	High	94.40%		ST902	3	5	1	1	150	1	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?	-	-	-	-	-	SulII	TetA	DfrA14	AmpH*;SHV-187*;OXA-1;OXA-9*	KPC-2	CTX-M-15	-	-	TEM-30*
400266-13	Klebsiella pneumoniae	strong	189	169202	536954	ST16	1	2	9	13	ybt 9; ICEKp3	174-1LV	-	0	-	0	-	0	-	-	wzi50	KL107	?-+	None	85.77%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O3b	none	Very high	99.06%		ST16	2	1	2	1	4	4	4	5	11	6*	5	1	34	15	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	RmtF;Aac6-Ib*?;RmtF	-	-	GyrA-83F;GyrA-87N;ParC-84K	-	MphA?	-	-	-	SulI	TetA	DfrA1	AmpH*;OXA-1	OXA-181*	CTX-M-15	-	-	SHV-26*
400925-13	Klebsiella pneumoniae	strong	184	154217	321022	ST512	0	2	8	11	-	0	-	0	-	0	-	0	-	-	wzi154	KL107	?-	None	99.99%	KL107_08,KL107_09,KL107_10	O2v1	-	Good	98.46%	O1/O2v1_01_wzm,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	ST512	54	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-Ib;AadA2*;Aph3-Ia*	-	-	GyrA-83I;ParC-80I	-	MphA	-	CatA1*	-	SulI	-	DfrA12	AmpH*	KPC-3	-	-	SHV-11	-
401065-17	Klebsiella michiganensis	strong	69	205754	423451	0	0	0	2	2	-	0	-	0	-	0	-	0	-	-	0	KL145	none	Very high	98.98%		O1v1	?-+*	Low	73.01%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147*	-	-	-	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3''Ia*	-	-	GyrA-83T	-	-	-	-	-	-	-	-	OXY1-3*	-	-	-	-	-
401084-17	Klebsiella pneumoniae	strong	109	185319	697063	ST395	1	2	11	18	ybt unknown	0	-	0	-	0	-	0	-	-	wzi2	KL2	?-	None	99.69%	KL2_08,KL2_09,KL2_10,KL2_11_wzx,KL2_12,KL2_13	O1v1	?-	Good	99.96%	O1/O2v1_06_wbbO	ST395	3	1	2	4	1	1	4	6*	15	5*	4*	11	245	23*	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ArmA;AphA6*;Aac3-IIa*;AadA5	-	-	Qnr-S1;GyrA-83I;ParC-80I	-	MsrE;MphE*	-	CatA1*	-	SulI	TetA	DfrA17;DfrA1	AmpH*;OXA-1	OXA-48	CTX-M-15	-	SHV-11	TEM-30*
401125-16	Klebsiella pneumoniae	strong	230	51486	160668	ST15	1	2	8	14	ybt 10; ICEKp4	28	-	0	-	0	-	0	-	-	wzi24	KL107	?-+	None	87.67%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O1/O2v1	?-	None	98.33%	O1/O2v1_01_wzm,O1/O2v1_06_wbbO	ST15	1	1	1	1	1	1	1	16	12	4	3	3	35	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;AadA1-pm*?;Aac6-Ib?	-	-	Qnr-S1;GyrA-83F;GyrA-87A;ParC-80I	-	MphA	-	-	-	SulII?	TetA	-	SHV-28*;AmpH*?;OXA-9*	NDM-1	CTX-M-15	-	-	TEM-30*?
401153-17	Klebsiella michiganensis	strong	120	180801	546578	0	0	0	2	2	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	78.39%	KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O1v1	-+*	Good	72.19%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147*	126*	-	171*	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3''Ia*?	-	-	GyrA-83T	-	-	-	-	-	-	-	-	OXY1-1*	-	-	-	-	-
401717-13	Klebsiella pneumoniae	strong	103	97811	278746	ST914-1LV	0	2	2	2	-	0	-	0	-	0	-	0	-	-	wzi81	KL107	?-+	None	91.05%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_11_gnd,KL107_12,KL107_13,KL107_14	OL102	?-*	None	83.38%	OL102_02_rfbA,OL102_03_rfbD,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	ST914-1LV	2	1	151	87	7	1	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	OXA-48	SHV-27*	-	-	-
401801-14	Klebsiella pneumoniae	strong	208	121709	260785	ST34	0	2	6	6	-	0	-	0	-	0	-	0	-	-	wzi50	KL107	?-+*	None	83.24%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O4	?-	Good	99.66%	O4_01_hydrolase	ST34	2	3	6	1	9	7	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3-Ia*	-	-	QnrB5*	-	-	-	-	-	SulI*	-	-	AmpH*;OXA-9*	KPC-2	SHV-12?	-	-	TEM-54*
40-2021-2	Klebsiella grimontii	strong	197	135688	407844	0	0	0	1	1	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	78.18%	KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_08,KL107_09,KL107_10	O1v1	-+*	Good	72.28%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147*	-	-	171*	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	-	OXY6-4*	-	-	-	-	-
402496-14	Klebsiella grimontii	strong	144	182134	512391	0	0	2	5	6	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	75.50%	KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O1/O2v1	?-+*	Good	72.32%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147*	-	-	171*	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83I;ParC-80I	-	-	-	-	-	SulI	TetA	-	OXA-9;OXY6-1	VIM-1	SHV-5	-	-	-
402620-12	Klebsiella grimontii	weak	163	89083	210714	0	0	2	7	11	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	77.97%	KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	O1v1	-+*	Good	72.21%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147*	-	-	-	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;AadA1-pm?	-	-	Qnr-S1;GyrA-83I	-	-	-	CatA1*;CmlA5	Arr2	SulI?	-	DfrA14	OXY6-2*;ACC-1;LAP-2;OXA-10	VIM-1	-	-	-	-
403161-15	Klebsiella pneumoniae	strong	190	136712	431117	ST392	0	2	7	14	-	0	-	0	-	0	-	0	-	-	wzi187	KL107	?-+	None	85.02%	KL107_04_wza,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O4	?-	Good	99.71%	O4_01_hydrolase,O4_03_hypothetical,O4_06_glycosyltransferase	ST392	3	4	6	1	7	4	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*;AadA1-pm*?;Aac6-Ib*?	-	-	QnrB1?;Qnr-S1;GyrA-83I;ParC-80I	-	-	-	-	-	SulII	-	DfrA14	AmpH*;SHV-67*;OXA-9*;OXA-1	NDM-1	CTX-M-15	-	-	TEM-30*?
403420-11	Klebsiella pneumoniae	strong	141	137591	490247	ST11	1	2	9	13	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	-	wzi27	KL107	?-+	None	86.16%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O2v1	?-	None	98.70%	O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	ST11	3	3	1	1	1	1	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA16*;AadA5	-	-	GyrA-83I;ParC-80I	-	MsrE;MphE*	-	-	Arr3	SulI	-	DfrA27;DfrA17	AmpH*?	OXA-48	CTX-M-15	-	SHV-11	-
403773-16	Klebsiella variicola	weak	221	67586	242700	ST971	0	2	4	4	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	85.28%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	O5	none	Very high	99.55%		ST971	16	32	21	91	68	22	74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	RmtC	-	-	QnrB32*	-	-	-	-	-	SulI*	-	-	AmpH*;LEN-24*	NDM-1	-	-	-	-
403774-16	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	166	161574	590855	ST2351-1LV	0	2	7	7	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	83.09%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O3/O3a	?-	Good	96.07%	O3/O3a_01_manC,O3/O3a_02_manB	ST2351-1LV	17	19	28	20	34	18	148*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	Qnr-S1	-	-	-	CatA1*	-	SulI	-	DfrA1*	AmpH*	VIM-1	-	-	OKP-A-5*	-
403850-15	Klebsiella pneumoniae	strong	198	65570	270154	ST437	2	2	8	9	ybt 0; ICEKp10	346-2LV	clb 3	17-2LV	-	0	-	0	-	-	wzi109	KL107	?-+*	None	82.76%	KL107_05_wzb,KL107_06_wzc,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O4	?-	None	99.72%	O4_03_hypothetical	ST437	3	3	1	1	1	1	31	48	15	5	94*	60	181*	200	50	11	4	84	2*	10*	2	2	2	2	2	8	2	2	2	2	2	2	2	-	-	-	GyrA-83I;ParC-80I	-	MphA	-	-	-	SulI	TetA	DfrA30*	AmpH*	KPC-2	CTX-M-15	-	SHV-11	-
404197-15	Klebsiella pneumoniae	strong	129	133380	271271	ST35	0	2	9	12	-	0	-	0	-	0	-	0	-	-	wzi194	KL108	?-*	None	97.22%	KL108_08,KL108_09,KL108_10,KL108_11	O1v1	-	Good	98.46%	O1/O2v1_07_kfoC	ST35	2	1	2	1	10	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IId*	-	-	Qnr-S1	-	-	-	-	-	SulI;SulII	TetA	DfrA1	AmpH*	OXA-181	CTX-M-14	-	SHV-33*	TEM-30*
404431-16	Klebsiella quasipneumoniae subsp. quasipneumoniae	weak	189	94795	212480	0	0	2	6	8	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	83.45%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	O3/O3a	none	Very high	96.96%		0	17	55	28	25*	206	21	162*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AphA6*?;AadA1-pm*?;Aac6-Ib	-	-	Qnr-S1	-	-	-	-	-	-	-	-	AmpH*;OXA-9	NDM-1	CTX-M-15	-	OKP-A-5*	TEM-54*
404556-16	Klebsiella pneumoniae	strong	70	192124	985119	ST307	1	2	8	11	ybt 10; ICEKp4	17	-	0	-	0	-	0	-	-	wzi173	KL102	?-	None	99.10%	KL102_09,KL102_10,KL102_11,KL102_12,KL102_13,KL102_14,KL102_15_wzx	O2v2	-	High	98.45%	O1/O2v2_01_wzm	ST307	4	1	2	52	1	1	7	15	3	4	3	3	7	28	3	3	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*	-	-	QnrB1?;GyrA-83I;ParC-80I	-	-	-	-	-	SulII	TetA	DfrA14	SHV-28*;AmpH*;OXA-1	OXA-48	CTX-M-15	-	-	TEM-30*
